,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACAT2,31.393955,0.006265183,0.065464903,0.095702928,0.923756516,0.999996842
ACBD3,0.221203112,-0.17539758,0.389787222,-0.449982888,0.65272278,0.999996842
ACBD3.AS1,0.070584758,-0.105785573,0.776918347,-0.136160477,0.891694419,0.999996842
ACBD4,616.2480854,-0.046964235,0.038568727,-1.217676566,0.223346906,0.636516513
ACBD5,497.9983839,0.053843912,0.035613169,1.511910174,0.130556716,0.472512052
ACBD6,3.360750608,0.217427422,0.131233623,1.656796607,0.097560603,0.399358732
ACBD7,2.563844082,0.475440639,0.149539437,3.179366255,0.001475975,0.025442368
ACCS,356.659307,0.136009294,0.078593497,1.730541325,0.083533605,0.362798826
ACCSL,209.3067538,0.174591016,0.123325464,1.415693161,0.156865362,0.523823521
ACD,3341.428079,-0.01712674,0.01841162,-0.930213655,0.352260473,0.803854705
ACE,48.54233258,0.038735986,0.053723022,0.721031415,0.470890187,0.915487412
ACE2,22569.70407,0.192757287,0.082847227,2.326659495,0.019983395,0.148318372
ACE3P,0.634922289,-0.04960274,0.142354181,-0.348445965,0.727505288,0.999996842
ACER1,1049.735074,-0.124383064,0.036928985,-3.368169061,0.000756692,0.015811376
ACER2,27.23810496,0.008477522,0.066318045,0.127831294,0.898282484,0.999996842
