,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB5,28.34060186,0.616980108,0.160507439,3.843934663,0.000121077,0.0029094
ABCB6,2189.696172,-0.013626626,0.033050887,-0.412292292,0.680125198,0.999991981
ABCB7,1.826522307,-0.105825425,0.111359363,-0.950305585,0.341957002,0.75201561
ABCB8,1.882703646,-0.262492887,0.140847945,-1.86366146,0.062369261,0.261045535
ABCB9,1365.65406,0.058609917,0.074445296,0.787288381,0.43111307,0.848979866
ABCC1,6412.470654,-0.014604445,0.053890315,-0.271003141,0.786388617,0.999991981
ABCC10,27.08450587,-0.391507299,0.178678147,-2.1911314,0.028442285,0.152298771
ABCC11,1202.946952,0.168317991,0.056802281,2.963225898,0.003044331,0.031723257
ABCC12,2805.652587,0.08636833,0.02464984,3.503808904,0.000458654,0.007864294
ABCC13,1.493734083,0.065547332,0.113095406,0.579575552,0.562200884,0.964498068
ABCC2,363.7294366,-0.140544642,0.107891019,-1.302653762,0.192692994,0.534686329
ABCC3,3489.883326,-0.000745148,0.042593894,-0.017494249,0.986042321,0.999991981
ABCC4,425.2564714,-0.129184824,0.059316641,-2.177884998,0.0294146,0.156181688
ABCC5,1555.327449,-0.113584767,0.042121147,-2.696620969,0.007004695,0.057386336
ABCC5.AS1,0.032232543,-0.059672915,2.344505281,-0.025452242,0.979694242,0.999991981
ABCC6,158.8308394,-0.203872144,0.14261938,-1.429484156,0.152865125,0.464283257
ABCC6P1,0.424348729,-0.076420662,0.182053997,-0.41976921,0.67465406,0.999991981
ABCC6P2,0.142112398,-0.194332041,0.827451284,-0.234856172,0.814320368,0.999991981
ABCC8,841.6740036,-0.188188189,0.150366547,-1.251529625,0.210741312,0.563874088
ABCC9,560.9291775,0.447621084,0.096831675,4.622672097,3.79E-06,0.00019809
ABCD1,264.1022898,-0.182877828,0.109982177,-1.662795125,0.096353453,0.346145524
ABCD1P2,88.84032577,-0.043240186,0.0599731,-0.720992998,0.470913823,0.887944928
ABCD1P3,1.368804978,0.039302798,0.146753638,0.267814809,0.788841871,0.999991981
ABCD1P4,4.490006399,-1.075840926,0.278471057,-3.863385074,0.000111827,0.002730719
ABCD1P5,40.60324256,0.148861529,0.081647818,1.823215046,0.068270827,0.276481544
ABCD2,25.95943535,-0.059143652,0.146437783,-0.403882459,0.686299156,0.999991981
